country,year,NY.GDP.MKTP.KD
United States,2016,16865603627700
United States,2015,16597445985800
United States,2014,16177455297100
United States,2013,15802855301300
United States,2012,15542161722300
United States,2011,15204019634600
United States,2010,14964372000000
United States,2009,14594842181900
United States,2008,15011490541400
United States,2007,15055395304800
United States,2006,14792303791800
United States,2005,14408093840400
United States,2004,13941713404100
United States,2003,13433168199500
